Brand,Bangla,Generic (Composition),Strength,Form,Pack,Group,Company,Price,MRP,Rx
"3 Bion 100 mg+200 mg+200 mcg","3 Bion 100 mg+200 mg+200 mcg","Vitamin B1, B6 & B12","100 mg+200 mg+200 mcg","ট্যাবলেট","6 x 10","Specific combined vitamin preparations","Jenphar Bangladesh Ltd.","12","12","OTC"
"3-C 100 mg/5 ml","3-C 100 mg/5 ml","Cefixime Trihydrate","100 mg/5 ml","পাউডার সাসপেনশন","একক","Third generation cephalosporins","Edruc Limited","195","195","OTC"
"3-C 200 mg","3-C 200 mg","Cefixime Trihydrate","200 mg","ক্যাপসুল","12's pack","Third generation cephalosporins","Edruc Limited","35","35","OTC"
"3-C 400 mg","3-C 400 mg","Cefixime Trihydrate","400 mg","ক্যাপসুল","4's pack","Third generation cephalosporins","Edruc Limited","48","48","OTC"
"3-F 500 mg","3-F 500 mg","Levofloxacin Hemihydrate","500 mg","ট্যাবলেট","20's pack","4-Quinolone preparations","Edruc Limited","14","14","OTC"
"3-Geocef 100 mg/5 ml","3-Geocef 100 mg/5 ml","Cefixime Trihydrate","100 mg/5 ml","পাউডার সাসপেনশন","একক","Third generation cephalosporins","Hallmark Pharmaceuticals Ltd.","175","175","OTC"
"3-Geocef 200 mg","3-Geocef 200 mg","Cefixime Trihydrate","200 mg","ক্যাপসুল","12's pack","Third generation cephalosporins","Hallmark Pharmaceuticals Ltd.","30","30","OTC"
"3D 2000 IU","3D 2000 IU","Cholecalciferol [Vitamin D3]","2000 IU","ট্যাবলেট","3 x 10","Vitamin in bone formation, Vitamin-D preparations","Jenphar Bangladesh Ltd.","2.5","2.5","OTC"
"3D 20000 IU","3D 20000 IU","Cholecalciferol [Vitamin D3]","20000 IU","ক্যাপসুল","1 x 10","Vitamin in bone formation, Vitamin-D preparations","Jenphar Bangladesh Ltd.","20","20","OTC"
"3D 40000 IU","3D 40000 IU","Cholecalciferol [Vitamin D3]","40000 IU","ক্যাপসুল","1 x 6","Vitamin in bone formation, Vitamin-D preparations","Jenphar Bangladesh Ltd.","35","35","OTC"
"3RD Cef 100 mg/5 ml","3RD Cef 100 mg/5 ml","Cefixime Trihydrate","100 mg/5 ml","পাউডার সাসপেনশন","একক","Third generation cephalosporins","Medimet Pharmaceuticals Ltd.","130","130","OTC"
"3RD Cef 200 mg","3RD Cef 200 mg","Cefixime Trihydrate","200 mg","ট্যাবলেট","4's pack","Third generation cephalosporins","Medimet Pharmaceuticals Ltd.","27","27","OTC"
"3RD Cef 400 mg","3RD Cef 400 mg","Cefixime Trihydrate","400 mg","ট্যাবলেট","4's pack","Third generation cephalosporins","Medimet Pharmaceuticals Ltd.","50","50","OTC"
"5 FU PhaRes 25 mg/ml","5 FU PhaRes 25 mg/ml","Fluorouracil","25 mg/ml","IV Injection or Infusion","একক","","ZAS Corporation","457","457","OTC"
"5-Fluril 25 mg/ml","5-Fluril 25 mg/ml","Fluorouracil","25 mg/ml","IV Injection or Infusion","একক","","Techno Drugs Ltd.","70","70","OTC"
"5-IN-1 Cleanser Cream","5-IN-1 Cleanser Cream","Miscellaneous Topical Agents","","ক্রিম","একক","","DBL Healthcare Ltd.","1375","1375","OTC"
"5X 30 mg","5X 30 mg","Ulipristal Acetate [For emergency contraception]","30 mg","ট্যাবলেট","একক","Drugs acting on the Uterus, Emergency Contraceptive Pill","Renata PLC","200","200","OTC"
